"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
World,681143521,58683.0,6808754.0,294.0,654080124.0,77682.0,20254643.0,87384.0,873.5,0.0,0.0,0.0,All
USA,105524399,0.0,1148090.0,0.0,103052729.0,0.0,1323580.0,315181.0,3429.0,1168329542.0,3489579.0,334805269.0,North America
India,44688693,0.0,530775.0,0.0,44154842.0,0.0,3076.0,31770.0,377.0,919314929.0,653558.0,1406631776.0,Asia
France,39639112,0.0,165073.0,0.0,39413395.0,4021.0,60644.0,604397.0,2517.0,271490188.0,4139547.0,65584518.0,Europe
Germany,38241231,0.0,168808.0,0.0,37823200.0,16700.0,249223.0,455884.0,2012.0,122332384.0,1458359.0,83883596.0,Europe
Brazil,37085520,0.0,699310.0,0.0,36249161.0,0.0,137049.0,172208.0,3247.0,63776166.0,296146.0,215353593.0,South America
Japan,33298296,9834.0,72989.0,80.0,21697743.0,1491.0,11527564.0,265146.0,581.0,95996267.0,764394.0,125584838.0,Asia
S. Korea,30605187,10890.0,34081.0,20.0,30395510.0,10262.0,175596.0,596245.0,664.0,15804065.0,307892.0,51329899.0,Asia
Italy,25603510,0.0,188322.0,0.0,25267118.0,0.0,148070.0,424864.0,3125.0,268196399.0,4450449.0,60262770.0,Europe
UK,24370154,0.0,206952.0,0.0,24116862.0,3316.0,46340.0,355780.0,3021.0,522526476.0,7628357.0,68497907.0,Europe
Russia,22388556,12496.0,396463.0,40.0,21729768.0,12536.0,262325.0,153550.0,2719.0,273400000.0,1875095.0,145805947.0,Europe
Turkey,17042722,0.0,101492.0,0.0,,,,199186.0,1186.0,162743369.0,1902052.0,85561976.0,Asia
Spain,13770429,0.0,119479.0,0.0,13615878.0,0.0,35072.0,294749.0,2557.0,471036328.0,10082298.0,46719142.0,Europe
Vietnam,11526994,0.0,43186.0,0.0,10614807.0,0.0,869001.0,116489.0,436.0,85826548.0,867342.0,98953541.0,Asia
Australia,11385534,0.0,19459.0,0.0,11332576.0,0.0,33499.0,436750.0,746.0,78835048.0,3024116.0,26068792.0,Australia/Oceania
Taiwan,10143788,9584.0,18371.0,49.0,9875952.0,15391.0,249465.0,424629.0,769.0,30742304.0,1286903.0,23888595.0,Asia
Argentina,10044957,0.0,130472.0,0.0,9911664.0,0.0,2821.0,218320.0,2836.0,35716069.0,776264.0,46010234.0,South America
Netherlands,8600120,0.0,22992.0,0.0,8561362.0,252.0,15766.0,499674.0,1336.0,25984435.0,1509718.0,17211447.0,Europe
Iran,7571996,0.0,144922.0,0.0,7339963.0,0.0,87111.0,88023.0,1685.0,55353767.0,643478.0,86022837.0,Asia
Mexico,7479635,4416.0,333170.0,34.0,6716617.0,2982.0,429848.0,56852.0,2532.0,19642771.0,149303.0,131562772.0,North America
Indonesia,6738225,307.0,160941.0,4.0,6574177.0,291.0,3107.0,24140.0,577.0,114158919.0,408975.0,279134505.0,Asia
Poland,6444960,3462.0,119010.0,21.0,5335940.0,0.0,990010.0,170774.0,3153.0,38345769.0,1016057.0,37739785.0,Europe
Colombia,6360780,0.0,142639.0,0.0,6184346.0,0.0,33795.0,123480.0,2769.0,36951507.0,717327.0,51512762.0,South America
Austria,5961143,5048.0,21970.0,1.0,5884127.0,3770.0,55046.0,657476.0,2423.0,211273524.0,23302116.0,9066710.0,Europe
Greece,5871458,0.0,36185.0,0.0,5824799.0,2618.0,10474.0,569125.0,3507.0,102228365.0,9909078.0,10316637.0,Europe
Portugal,5570473,0.0,26266.0,0.0,5538659.0,0.0,5548.0,549325.0,2590.0,45994869.0,4535728.0,10140570.0,Europe
Ukraine,5399231,0.0,111298.0,0.0,5270797.0,0.0,17136.0,125005.0,2577.0,32603805.0,754855.0,43192122.0,Europe
Chile,5188380,0.0,64254.0,0.0,5116507.0,0.0,7619.0,269524.0,3338.0,48553965.0,2522258.0,19250195.0,South America
Malaysia,5044439,0.0,36967.0,0.0,4998219.0,0.0,9253.0,152028.0,1114.0,68274644.0,2057638.0,33181072.0,Asia
Israel,4803173,0.0,12325.0,0.0,4781252.0,0.0,9596.0,515030.0,1322.0,41373364.0,4436346.0,9326000.0,Asia
DPRK,4772813,0.0,74.0,0.0,4772739.0,0.0,0.0,183636.0,3.0,0.0,0.0,25990679.0,Asia
Thailand,4728182,0.0,33918.0,0.0,4692636.0,0.0,1628.0,67470.0,484.0,17270775.0,246450.0,70078203.0,Asia
Belgium,4727795,0.0,33775.0,0.0,4664797.0,792.0,29223.0,405184.0,2895.0,36752058.0,3149741.0,11668278.0,Europe
Czechia,4618256,1146.0,42491.0,1.0,4565267.0,149.0,10498.0,430134.0,3958.0,57037294.0,5312326.0,10736784.0,Europe
Canada,4600615,0.0,51447.0,0.0,4512398.0,1441.0,36770.0,119844.0,1340.0,66343123.0,1728207.0,38388419.0,North America
Peru,4487266,332.0,219538.0,25.0,4265634.0,244.0,2094.0,133216.0,6518.0,38111809.0,1131444.0,33684208.0,South America
Switzerland,4392464,0.0,14452.0,0.0,4373995.0,0.0,4017.0,500643.0,1647.0,23833472.0,2716487.0,8773637.0,Europe
Philippines,4077452,162.0,66188.0,12.0,4002247.0,64.0,9017.0,36241.0,588.0,34667870.0,308134.0,112508994.0,Asia
South Africa,4066641,0.0,102595.0,0.0,3912506.0,0.0,51540.0,66934.0,1689.0,26795090.0,441027.0,60756135.0,Africa
Romania,3346046,0.0,67736.0,0.0,3267395.0,0.0,10915.0,175818.0,3559.0,26750616.0,1405609.0,19031335.0,Europe
Denmark,3175822,84.0,8296.0,4.0,3166615.0,79.0,911.0,544276.0,1422.0,129207898.0,22143788.0,5834950.0,Europe
Hong Kong,2883851,50.0,13467.0,1.0,2863814.0,455.0,6570.0,379240.0,1771.0,76127725.0,10011143.0,7604299.0,Asia
Sweden,2699339,0.0,23749.0,0.0,2672273.0,315.0,3317.0,264150.0,2324.0,19477620.0,1906026.0,10218971.0,Europe
Serbia,2499269,0.0,17875.0,0.0,2466394.0,0.0,15000.0,288832.0,2066.0,12459576.0,1439911.0,8653016.0,Europe
Iraq,2465545,0.0,25375.0,0.0,2439497.0,0.0,673.0,58474.0,602.0,19544451.0,463523.0,42164965.0,Asia
Singapore,2230570,0.0,1722.0,0.0,2149583.0,0.0,79265.0,375293.0,290.0,24756666.0,4165302.0,5943546.0,Asia
New Zealand,2228291,0.0,3922.0,0.0,2214316.0,0.0,10053.0,454920.0,801.0,7768604.0,1586011.0,4898203.0,Australia/Oceania
Hungary,2196804,0.0,48762.0,0.0,2143788.0,0.0,4254.0,228685.0,5076.0,11394556.0,1186160.0,9606259.0,Europe
Bangladesh,2037871,0.0,29445.0,0.0,1998448.0,0.0,9978.0,12138.0,175.0,15254399.0,90862.0,167885689.0,Asia
Slovakia,1863865,116.0,21035.0,2.0,1841462.0,98.0,1368.0,341355.0,3852.0,7408131.0,1356753.0,5460193.0,Europe
Georgia,1827537,0.0,16971.0,0.0,1776548.0,0.0,34018.0,460483.0,4276.0,16920079.0,4263340.0,3968738.0,Asia
Jordan,1746997,0.0,14122.0,0.0,1731007.0,0.0,1868.0,169597.0,1371.0,17201885.0,1669945.0,10300869.0,Asia
Ireland,1703850,0.0,8691.0,0.0,1693155.0,282.0,2004.0,339399.0,1731.0,13040649.0,2597636.0,5020199.0,Europe
Pakistan,1577339,50.0,30644.0,0.0,1538689.0,0.0,8006.0,6873.0,134.0,30570862.0,133213.0,229488994.0,Asia
Norway,1479453,0.0,5213.0,0.0,1473459.0,0.0,781.0,268437.0,946.0,11002430.0,1996315.0,5511370.0,Europe
